datetime,cpu,mem
Fri Oct 28 22:27:40 GMT 2022,45,1453090
Fri Oct 28 22:27:42 GMT 2022,0,1286450
Fri Oct 28 22:27:43 GMT 2022,0,1225386
Fri Oct 28 22:27:46 GMT 2022,0,1258153
Fri Oct 28 22:27:48 GMT 2022,0.1,1276226
Fri Oct 28 22:27:51 GMT 2022,0.1,1275114
Fri Oct 28 22:27:54 GMT 2022,-12.4,1277002
Fri Oct 28 22:27:56 GMT 2022,-12.4,1261578
Fri Oct 28 22:27:58 GMT 2022,-12.4,1264048
Fri Oct 28 22:28:01 GMT 2022,40,1263858
Fri Oct 28 22:28:03 GMT 2022,40,1263026
Fri Oct 28 22:28:05 GMT 2022,40,1263567
Fri Oct 28 22:28:06 GMT 2022,0,1262645
Fri Oct 28 22:28:08 GMT 2022,0,1263981
Fri Oct 28 22:28:10 GMT 2022,0,1264555
Fri Oct 28 22:28:12 GMT 2022,32,1261793
Fri Oct 28 22:28:14 GMT 2022,32,1258058
Fri Oct 28 22:28:16 GMT 2022,32,1259792
Fri Oct 28 22:28:17 GMT 2022,32,1259090
Fri Oct 28 22:28:19 GMT 2022,32,1260108
Fri Oct 28 22:28:21 GMT 2022,32,1261808
Fri Oct 28 22:28:23 GMT 2022,23,1260830
Fri Oct 28 22:28:25 GMT 2022,23,1261818
Fri Oct 28 22:28:27 GMT 2022,23,1261832
Fri Oct 28 22:28:29 GMT 2022,0,1261878
Fri Oct 28 22:28:31 GMT 2022,0,1260926
Fri Oct 28 22:28:33 GMT 2022,0,1262140
Fri Oct 28 22:28:34 GMT 2022,0.1,1260826
Fri Oct 28 22:28:36 GMT 2022,0.1,1262158
Fri Oct 28 22:28:38 GMT 2022,0.1,1262572
Fri Oct 28 22:28:40 GMT 2022,33,1260660
Fri Oct 28 22:28:42 GMT 2022,33,1238937
Fri Oct 28 22:28:44 GMT 2022,33,1241527
Fri Oct 28 22:28:45 GMT 2022,35,1236249
Fri Oct 28 22:28:47 GMT 2022,35,1240369
Fri Oct 28 22:28:49 GMT 2022,35,1240883
Fri Oct 28 22:28:51 GMT 2022,33,1240945
Fri Oct 28 22:28:53 GMT 2022,33,1232780
Fri Oct 28 22:28:54 GMT 2022,33,1221203
